"H (A_per_meter)" 	"B (tesla)"
35400.00	0.85
35500.00	0.85
35600.00	0.85
35700.00	0.85
35800.00	0.85
35900.00	0.86
36000.00	0.86
36100.00	0.86
36200.00	0.86
36300.00	0.86
36400.00	0.86
36500.00	0.86
36600.00	0.86
36700.00	0.86
36800.00	0.86
36900.00	0.86
37000.00	0.86
37100.00	0.86
37200.00	0.86
37300.00	0.86
37400.00	0.86
37500.00	0.86
37600.00	0.86
37700.00	0.86
37800.00	0.86
37900.00	0.86
38000.00	0.86
38100.00	0.86
38200.00	0.86
38300.00	0.86
38400.00	0.87
38500.00	0.87
38600.00	0.87
38700.00	0.87
38800.00	0.87
38900.00	0.87
39000.00	0.87
39100.00	0.87
39200.00	0.87
39300.00	0.87
39400.00	0.87
39500.00	0.87
39600.00	0.87
39700.00	0.87
39800.00	0.87
39900.00	0.87
40000.00	0.87
40100.00	0.87
40200.00	0.87
40300.00	0.87
40400.00	0.87
40500.00	0.87
40600.00	0.87
40700.00	0.87
40800.00	0.87
40900.00	0.87
41000.00	0.87
41100.00	0.87
41200.00	0.87
41300.00	0.88
41400.00	0.88
41500.00	0.88
41600.00	0.88
41700.00	0.88
41800.00	0.88
41900.00	0.88
42000.00	0.88
42100.00	0.88
42200.00	0.88
42300.00	0.88
42400.00	0.88
42500.00	0.88
42600.00	0.88
42700.00	0.88
42800.00	0.88
42900.00	0.88
43000.00	0.88
43100.00	0.88
43200.00	0.88
43300.00	0.88
43400.00	0.88
43500.00	0.88
43600.00	0.88
43700.00	0.88
43800.00	0.88
43900.00	0.88
44000.00	0.88
44100.00	0.88
44200.00	0.88
44300.00	0.88
44400.00	0.88
44500.00	0.88
44600.00	0.89
44700.00	0.89
44800.00	0.89
44900.00	0.89
45000.00	0.89
45100.00	0.89
45200.00	0.89
45300.00	0.89
45400.00	0.89
45500.00	0.89
45600.00	0.89
45700.00	0.89
45800.00	0.89
45900.00	0.89
46000.00	0.89
46100.00	0.89
46200.00	0.89
