"H (A_per_meter)" 	"B (tesla)"
153900.00	0.98
154000.00	0.98
154100.00	0.99
154200.00	0.99
154300.00	0.99
154400.00	0.99
154500.00	0.99
154600.00	0.99
154700.00	0.99
154800.00	0.99
154900.00	0.99
155000.00	0.99
155100.00	0.99
155200.00	0.99
155300.00	0.99
155400.00	0.99
155500.00	0.99
155600.00	0.99
155700.00	0.99
155800.00	0.99
155900.00	0.99
156000.00	0.99
156100.00	0.99
156200.00	0.99
156300.00	0.99
156400.00	0.99
156500.00	0.99
156600.00	0.99
156700.00	0.99
156800.00	0.99
156900.00	0.99
157000.00	0.99
157100.00	0.99
157200.00	0.99
157300.00	0.99
157400.00	0.99
157500.00	0.99
157600.00	0.99
157700.00	0.99
157800.00	0.99
157900.00	0.99
158000.00	0.99
158100.00	0.99
158200.00	0.99
158300.00	0.99
158400.00	0.99
158500.00	0.99
158600.00	0.99
158700.00	0.99
158800.00	0.99
158900.00	0.99
159000.00	0.99
159100.00	0.99
159200.00	0.99
159300.00	0.99
159400.00	0.99
159500.00	0.99
159600.00	0.99
159700.00	0.99
159800.00	0.99
159900.00	0.99
160000.00	0.99
160100.00	0.99
160200.00	0.99
160300.00	0.99
160400.00	0.99
160500.00	0.99
160600.00	0.99
160700.00	0.99
160800.00	0.99
160900.00	0.99
161000.00	0.99
161100.00	0.99
161200.00	0.99
161300.00	0.99
161400.00	0.99
161500.00	0.99
161600.00	0.99
161700.00	0.99
161800.00	0.99
161900.00	0.99
162000.00	0.99
162100.00	0.99
162200.00	0.99
162300.00	0.99
162400.00	0.99
162500.00	0.99
162600.00	0.99
162700.00	0.99
162800.00	0.99
162900.00	0.99
163000.00	0.99
163100.00	0.99
163200.00	0.99
163300.00	0.99
163400.00	0.99
163500.00	0.99
163600.00	0.99
163700.00	0.99
163800.00	0.99
163900.00	0.99
164000.00	0.99
164100.00	0.99
164200.00	0.99
164300.00	0.99
164400.00	0.99
164500.00	0.99
164600.00	0.99
164700.00	0.99
164800.00	0.99
164900.00	0.99
165000.00	0.99
165100.00	0.99
165200.00	0.99
165300.00	0.99
165400.00	0.99
165500.00	0.99
165600.00	0.99
165700.00	0.99
165800.00	0.99
165900.00	0.99
166000.00	0.99
166100.00	0.99
166200.00	0.99
166300.00	0.99
166400.00	0.99
166500.00	0.99
166600.00	0.99
166700.00	0.99
166800.00	0.99
166900.00	0.99
167000.00	0.99
167100.00	0.99
167200.00	0.99
167300.00	0.99
167400.00	0.99
167500.00	0.99
167600.00	0.99
167700.00	0.99
167800.00	0.99
167900.00	0.99
168000.00	0.99
168100.00	0.99
168200.00	0.99
168300.00	0.99
168400.00	0.99
168500.00	0.99
168600.00	0.99
168700.00	0.99
168800.00	0.99
168900.00	0.99
169000.00	0.99
169100.00	0.99
169200.00	0.99
169300.00	0.99
169400.00	0.99
169500.00	0.99
169600.00	0.99
169700.00	0.99
169800.00	0.99
169900.00	0.99
170000.00	0.99
170100.00	0.99
170200.00	0.99
170300.00	0.99
170400.00	0.99
170500.00	0.99
170600.00	0.99
170700.00	0.99
170800.00	0.99
170900.00	0.99
171000.00	0.99
171100.00	0.99
171200.00	0.99
171300.00	0.99
171400.00	0.99
171500.00	0.99
171600.00	0.99
171700.00	0.99
171800.00	0.99
171900.00	0.99
172000.00	0.99
172100.00	0.99
172200.00	0.99
172300.00	0.99
172400.00	0.99
172500.00	0.99
172600.00	0.99
172700.00	0.99
172800.00	0.99
172900.00	0.99
173000.00	0.99
173100.00	0.99
173200.00	0.99
173300.00	0.99
173400.00	0.99
173500.00	0.99
173600.00	0.99
173700.00	0.99
173800.00	0.99
173900.00	0.99
174000.00	0.99
174100.00	0.99
174200.00	0.99
174300.00	0.99
174400.00	0.99
174500.00	0.99
174600.00	0.99
174700.00	0.99
174800.00	0.99
174900.00	0.99
175000.00	0.99
175100.00	0.99
175200.00	0.99
175300.00	0.99
175400.00	0.99
175500.00	0.99
175600.00	0.99
175700.00	0.99
175800.00	0.99
175900.00	0.99
176000.00	0.99
176100.00	0.99
176200.00	0.99
176300.00	0.99
176400.00	0.99
176500.00	0.99
176600.00	0.99
176700.00	0.99
176800.00	0.99
176900.00	0.99
177000.00	0.99
177100.00	0.99
177200.00	0.99
177300.00	0.99
177400.00	0.99
177500.00	0.99
177600.00	0.99
177700.00	0.99
177800.00	0.99
177900.00	0.99
178000.00	0.99
178100.00	0.99
178200.00	0.99
178300.00	0.99
178400.00	0.99
178500.00	0.99
178600.00	0.99
178700.00	0.99
178800.00	0.99
178900.00	0.99
179000.00	0.99
179100.00	0.99
179200.00	0.99
179300.00	0.99
179400.00	0.99
179500.00	0.99
179600.00	0.99
179700.00	0.99
179800.00	0.99
179900.00	0.99
180000.00	0.99
180100.00	0.99
180200.00	0.99
180300.00	0.99
180400.00	0.99
180500.00	0.99
180600.00	0.99
180700.00	0.99
180800.00	0.99
180900.00	0.99
181000.00	0.99
181100.00	0.99
181200.00	0.99
181300.00	0.99
181400.00	0.99
181500.00	0.99
181600.00	0.99
181700.00	0.99
181800.00	0.99
181900.00	0.99
182000.00	0.99
182100.00	0.99
182200.00	0.99
182300.00	0.99
182400.00	0.99
182500.00	0.99
182600.00	0.99
182700.00	0.99
182800.00	0.99
182900.00	0.99
183000.00	0.99
183100.00	0.99
183200.00	0.99
183300.00	0.99
183400.00	0.99
183500.00	0.99
183600.00	0.99
183700.00	0.99
183800.00	0.99
183900.00	0.99
184000.00	0.99
184100.00	0.99
184200.00	0.99
184300.00	0.99
184400.00	0.99
184500.00	0.99
184600.00	0.99
184700.00	0.99
184800.00	0.99
184900.00	0.99
185000.00	0.99
185100.00	0.99
185200.00	0.99
185300.00	0.99
185400.00	0.99
185500.00	0.99
185600.00	0.99
185700.00	0.99
185800.00	0.99
185900.00	0.99
186000.00	0.99
186100.00	0.99
186200.00	0.99
186300.00	0.99
186400.00	0.99
186500.00	0.99
186600.00	0.99
186700.00	0.99
186800.00	0.99
186900.00	0.99
187000.00	0.99
187100.00	0.99
187200.00	0.99
187300.00	0.99
187400.00	0.99
187500.00	0.99
187600.00	0.99
187700.00	0.99
187800.00	0.99
187900.00	0.99
188000.00	0.99
188100.00	0.99
188200.00	0.99
188300.00	0.99
188400.00	0.99
188500.00	0.99
188600.00	0.99
188700.00	0.99
188800.00	0.99
188900.00	0.99
189000.00	0.99
189100.00	0.99
189200.00	0.99
189300.00	0.99
189400.00	0.99
189500.00	0.99
189600.00	0.99
189700.00	0.99
189800.00	0.99
189900.00	0.99
190000.00	0.99
190100.00	0.99
190200.00	0.99
190300.00	0.99
190400.00	0.99
190500.00	0.99
190600.00	0.99
190700.00	0.99
190800.00	0.99
190900.00	0.99
191000.00	0.99
191100.00	0.99
191200.00	0.99
191300.00	0.99
191400.00	0.99
191500.00	0.99
191600.00	0.99
191700.00	0.99
191800.00	0.99
191900.00	0.99
192000.00	0.99
192100.00	0.99
192200.00	0.99
192300.00	0.99
192400.00	0.99
192500.00	0.99
192600.00	0.99
192700.00	0.99
192800.00	0.99
192900.00	0.99
193000.00	0.99
193100.00	0.99
193200.00	0.99
193300.00	0.99
193400.00	0.99
193500.00	0.99
193600.00	0.99
193700.00	0.99
193800.00	0.99
193900.00	0.99
194000.00	0.99
194100.00	0.99
194200.00	0.99
194300.00	0.99
194400.00	0.99
194500.00	0.99
194600.00	0.99
194700.00	0.99
194800.00	0.99
194900.00	0.99
195000.00	0.99
195100.00	0.99
195200.00	0.99
195300.00	0.99
195400.00	0.99
195500.00	0.99
195600.00	0.99
195700.00	0.99
195800.00	0.99
195900.00	0.99
196000.00	0.99
196100.00	0.99
196200.00	0.99
196300.00	0.99
196400.00	0.99
196500.00	0.99
196600.00	0.99
196700.00	0.99
196800.00	0.99
196900.00	0.99
197000.00	0.99
197100.00	0.99
197200.00	0.99
197300.00	1.00
197400.00	1.00
197500.00	1.00
197600.00	1.00
197700.00	1.00
197800.00	1.00
197900.00	1.00
198000.00	1.00
198100.00	1.00
198200.00	1.00
198300.00	1.00
198400.00	1.00
198500.00	1.00
198600.00	1.00
198700.00	1.00
198800.00	1.00
198900.00	1.00
199000.00	1.00
199100.00	1.00
199200.00	1.00
199300.00	1.00
199400.00	1.00
199500.00	1.00
199600.00	1.00
199700.00	1.00
199800.00	1.00
199900.00	1.00
200000.00	1.00
200100.00	1.00
200200.00	1.00
200300.00	1.00
200400.00	1.00
200500.00	1.00
200600.00	1.00
200700.00	1.00
200800.00	1.00
200900.00	1.00
201000.00	1.00
201100.00	1.00
201200.00	1.00
201300.00	1.00
201400.00	1.00
201500.00	1.00
201600.00	1.00
201700.00	1.00
201800.00	1.00
201900.00	1.00
202000.00	1.00
202100.00	1.00
202200.00	1.00
202300.00	1.00
202400.00	1.00
202500.00	1.00
202600.00	1.00
202700.00	1.00
202800.00	1.00
202900.00	1.00
203000.00	1.00
203100.00	1.00
203200.00	1.00
203300.00	1.00
203400.00	1.00
203500.00	1.00
203600.00	1.00
203700.00	1.00
203800.00	1.00
203900.00	1.00
204000.00	1.00
204100.00	1.00
204200.00	1.00
204300.00	1.00
204400.00	1.00
204500.00	1.00
204600.00	1.00
204700.00	1.00
204800.00	1.00
204900.00	1.00
205000.00	1.00
205100.00	1.00
205200.00	1.00
205300.00	1.00
205400.00	1.00
205500.00	1.00
205600.00	1.00
205700.00	1.00
205800.00	1.00
205900.00	1.00
206000.00	1.00
206100.00	1.00
206200.00	1.00
206300.00	1.00
206400.00	1.00
206500.00	1.00
206600.00	1.00
206700.00	1.00
206800.00	1.00
206900.00	1.00
207000.00	1.00
207100.00	1.00
207200.00	1.00
207300.00	1.00
207400.00	1.00
207500.00	1.00
207600.00	1.00
207700.00	1.00
207800.00	1.00
207900.00	1.00
208000.00	1.00
208100.00	1.00
208200.00	1.00
208300.00	1.00
208400.00	1.00
208500.00	1.00
208600.00	1.00
208700.00	1.00
208800.00	1.00
208900.00	1.00
209000.00	1.00
209100.00	1.00
209200.00	1.00
209300.00	1.00
209400.00	1.00
209500.00	1.00
209600.00	1.00
209700.00	1.00
209800.00	1.00
209900.00	1.00
210000.00	1.00
210100.00	1.00
210200.00	1.00
210300.00	1.00
210400.00	1.00
210500.00	1.00
210600.00	1.00
210700.00	1.00
210800.00	1.00
210900.00	1.00
211000.00	1.00
211100.00	1.00
211200.00	1.00
211300.00	1.00
211400.00	1.00
211500.00	1.00
211600.00	1.00
211700.00	1.00
211800.00	1.00
211900.00	1.00
212000.00	1.00
212100.00	1.00
212200.00	1.00
212300.00	1.00
212400.00	1.00
212500.00	1.00
212600.00	1.00
212700.00	1.00
212800.00	1.00
212900.00	1.00
213000.00	1.00
213100.00	1.00
213200.00	1.00
213300.00	1.00
213400.00	1.00
213500.00	1.00
213600.00	1.00
213700.00	1.00
213800.00	1.00
213900.00	1.00
214000.00	1.00
214100.00	1.00
214200.00	1.00
214300.00	1.00
214400.00	1.00
214500.00	1.00
214600.00	1.00
214700.00	1.00
214800.00	1.00
214900.00	1.00
215000.00	1.00
215100.00	1.00
215200.00	1.00
215300.00	1.00
215400.00	1.00
215500.00	1.00
215600.00	1.00
215700.00	1.00
215800.00	1.00
215900.00	1.00
216000.00	1.00
216100.00	1.00
216200.00	1.00
216300.00	1.00
216400.00	1.00
216500.00	1.00
216600.00	1.00
216700.00	1.00
216800.00	1.00
216900.00	1.00
217000.00	1.00
217100.00	1.00
217200.00	1.00
217300.00	1.00
217400.00	1.00
217500.00	1.00
217600.00	1.00
217700.00	1.00
217800.00	1.00
217900.00	1.00
218000.00	1.00
218100.00	1.00
218200.00	1.00
218300.00	1.00
218400.00	1.00
218500.00	1.00
218600.00	1.00
218700.00	1.00
218800.00	1.00
218900.00	1.00
219000.00	1.00
219100.00	1.00
219200.00	1.00
219300.00	1.00
219400.00	1.00
219500.00	1.00
219600.00	1.00
219700.00	1.00
219800.00	1.00
219900.00	1.00
220000.00	1.00
220100.00	1.00
220200.00	1.00
220300.00	1.00
220400.00	1.00
220500.00	1.00
220600.00	1.00
220700.00	1.00
220800.00	1.00
220900.00	1.00
221000.00	1.00
221100.00	1.00
221200.00	1.00
221300.00	1.00
221400.00	1.00
221500.00	1.00
221600.00	1.00
221700.00	1.00
221800.00	1.00
221900.00	1.00
222000.00	1.00
222100.00	1.00
222200.00	1.00
222300.00	1.00
222400.00	1.00
222500.00	1.00
222600.00	1.00
222700.00	1.00
222800.00	1.00
222900.00	1.00
223000.00	1.00
223100.00	1.00
223200.00	1.00
223300.00	1.00
223400.00	1.00
223500.00	1.00
223600.00	1.00
223700.00	1.00
223800.00	1.00
223900.00	1.00
224000.00	1.00
224100.00	1.00
224200.00	1.00
224300.00	1.00
224400.00	1.00
224500.00	1.00
224600.00	1.00
224700.00	1.00
224800.00	1.00
224900.00	1.00
225000.00	1.00
225100.00	1.00
225200.00	1.00
225300.00	1.00
225400.00	1.00
225500.00	1.00
225600.00	1.00
225700.00	1.00
225800.00	1.00
225900.00	1.00
226000.00	1.00
226100.00	1.00
226200.00	1.00
226300.00	1.00
226400.00	1.00
226500.00	1.00
226600.00	1.00
226700.00	1.00
226800.00	1.00
226900.00	1.00
227000.00	1.00
227100.00	1.00
227200.00	1.00
227300.00	1.00
227400.00	1.00
227500.00	1.00
227600.00	1.00
227700.00	1.00
227800.00	1.00
227900.00	1.00
228000.00	1.00
228100.00	1.00
228200.00	1.00
228300.00	1.00
228400.00	1.00
228500.00	1.00
228600.00	1.00
228700.00	1.00
228800.00	1.00
228900.00	1.00
229000.00	1.00
229100.00	1.00
229200.00	1.00
229300.00	1.00
229400.00	1.00
229500.00	1.00
229600.00	1.00
229700.00	1.00
229800.00	1.00
229900.00	1.00
230000.00	1.00
230100.00	1.00
230200.00	1.00
230300.00	1.00
230400.00	1.00
230500.00	1.00
230600.00	1.00
230700.00	1.00
230800.00	1.00
230900.00	1.00
231000.00	1.00
231100.00	1.00
231200.00	1.00
231300.00	1.00
231400.00	1.00
231500.00	1.00
231600.00	1.00
231700.00	1.00
231800.00	1.00
231900.00	1.00
232000.00	1.00
232100.00	1.00
232200.00	1.00
232300.00	1.00
232400.00	1.00
232500.00	1.00
232600.00	1.00
232700.00	1.00
232800.00	1.00
232900.00	1.00
233000.00	1.00
233100.00	1.00
233200.00	1.00
233300.00	1.00
233400.00	1.00
233500.00	1.00
233600.00	1.00
233700.00	1.00
233800.00	1.00
233900.00	1.00
234000.00	1.00
234100.00	1.00
234200.00	1.00
234300.00	1.00
234400.00	1.00
234500.00	1.00
234600.00	1.00
234700.00	1.00
234800.00	1.00
234900.00	1.00
235000.00	1.00
235100.00	1.00
235200.00	1.00
235300.00	1.00
235400.00	1.00
235500.00	1.00
235600.00	1.00
235700.00	1.00
235800.00	1.00
235900.00	1.00
236000.00	1.00
236100.00	1.00
236200.00	1.00
236300.00	1.00
236400.00	1.00
236500.00	1.00
236600.00	1.00
236700.00	1.00
236800.00	1.00
236900.00	1.00
237000.00	1.00
237100.00	1.00
237200.00	1.00
237300.00	1.00
237400.00	1.00
237500.00	1.00
237600.00	1.00
237700.00	1.00
237800.00	1.00
237900.00	1.00
238000.00	1.00
238100.00	1.00
238200.00	1.00
238300.00	1.00
238400.00	1.00
238500.00	1.00
238600.00	1.00
238700.00	1.00
238800.00	1.00
238900.00	1.00
239000.00	1.00
239100.00	1.00
239200.00	1.00
239300.00	1.00
239400.00	1.00
239500.00	1.00
239600.00	1.00
239700.00	1.00
239800.00	1.00
239900.00	1.00
240000.00	1.00
240100.00	1.00
240200.00	1.00
240300.00	1.00
240400.00	1.00
240500.00	1.00
240600.00	1.00
240700.00	1.00
240800.00	1.00
240900.00	1.00
241000.00	1.00
241100.00	1.00
241200.00	1.00
241300.00	1.00
241400.00	1.00
241500.00	1.00
241600.00	1.00
241700.00	1.00
241800.00	1.00
241900.00	1.00
242000.00	1.00
242100.00	1.00
242200.00	1.00
242300.00	1.00
242400.00	1.00
242500.00	1.00
242600.00	1.00
242700.00	1.00
242800.00	1.00
242900.00	1.00
243000.00	1.00
243100.00	1.00
243200.00	1.00
243300.00	1.00
243400.00	1.00
243500.00	1.00
243600.00	1.00
243700.00	1.00
243800.00	1.00
243900.00	1.00
244000.00	1.00
244100.00	1.00
244200.00	1.00
244300.00	1.00
244400.00	1.00
244500.00	1.00
244600.00	1.00
244700.00	1.00
244800.00	1.00
244900.00	1.00
245000.00	1.00
245100.00	1.00
245200.00	1.00
245300.00	1.00
245400.00	1.00
245500.00	1.00
245600.00	1.00
245700.00	1.00
245800.00	1.00
245900.00	1.00
246000.00	1.00
246100.00	1.00
246200.00	1.00
246300.00	1.00
246400.00	1.00
246500.00	1.00
246600.00	1.00
246700.00	1.00
246800.00	1.00
246900.00	1.00
247000.00	1.00
247100.00	1.00
247200.00	1.00
247300.00	1.00
247400.00	1.00
247500.00	1.00
247600.00	1.00
247700.00	1.00
247800.00	1.00
247900.00	1.00
248000.00	1.00
248100.00	1.00
248200.00	1.00
248300.00	1.00
248400.00	1.00
248500.00	1.00
248600.00	1.00
248700.00	1.00
248800.00	1.00
248900.00	1.00
249000.00	1.00
249100.00	1.00
249200.00	1.00
249300.00	1.00
249400.00	1.00
249500.00	1.00
249600.00	1.00
249700.00	1.00
249800.00	1.00
249900.00	1.00
250000.00	1.00
250100.00	1.00
250200.00	1.00
250300.00	1.00
250400.00	1.00
250500.00	1.00
250600.00	1.00
250700.00	1.00
250800.00	1.00
250900.00	1.00
251000.00	1.00
251100.00	1.00
251200.00	1.00
251300.00	1.00
251400.00	1.00
251500.00	1.00
251600.00	1.00
251700.00	1.00
251800.00	1.00
251900.00	1.00
252000.00	1.00
252100.00	1.00
252200.00	1.00
252300.00	1.00
252400.00	1.00
252500.00	1.00
252600.00	1.00
252700.00	1.00
252800.00	1.00
252900.00	1.00
253000.00	1.00
253100.00	1.00
253200.00	1.00
253300.00	1.00
253400.00	1.00
253500.00	1.00
253600.00	1.00
253700.00	1.00
253800.00	1.00
253900.00	1.00
254000.00	1.00
254100.00	1.00
254200.00	1.00
254300.00	1.00
254400.00	1.00
254500.00	1.00
254600.00	1.00
254700.00	1.00
254800.00	1.00
254900.00	1.00
255000.00	1.00
255100.00	1.00
255200.00	1.00
255300.00	1.00
255400.00	1.00
255500.00	1.00
255600.00	1.00
255700.00	1.00
255800.00	1.00
255900.00	1.00
256000.00	1.00
256100.00	1.00
256200.00	1.00
256300.00	1.00
256400.00	1.00
256500.00	1.00
256600.00	1.00
256700.00	1.00
256800.00	1.00
256900.00	1.00
257000.00	1.00
257100.00	1.00
257200.00	1.00
257300.00	1.00
257400.00	1.00
257500.00	1.00
257600.00	1.00
257700.00	1.00
257800.00	1.00
257900.00	1.00
258000.00	1.00
258100.00	1.00
258200.00	1.00
258300.00	1.00
258400.00	1.00
258500.00	1.00
258600.00	1.00
258700.00	1.00
258800.00	1.00
258900.00	1.00
259000.00	1.00
259100.00	1.00
259200.00	1.00
259300.00	1.00
259400.00	1.00
259500.00	1.00
259600.00	1.00
259700.00	1.00
259800.00	1.00
259900.00	1.00
260000.00	1.00
260100.00	1.00
260200.00	1.00
260300.00	1.00
260400.00	1.00
260500.00	1.00
260600.00	1.00
260700.00	1.00
260800.00	1.00
260900.00	1.00
261000.00	1.00
261100.00	1.00
261200.00	1.00
261300.00	1.00
261400.00	1.00
261500.00	1.00
261600.00	1.00
261700.00	1.00
261800.00	1.00
261900.00	1.00
262000.00	1.00
262100.00	1.00
262200.00	1.00
262300.00	1.00
262400.00	1.00
262500.00	1.00
262600.00	1.00
262700.00	1.00
262800.00	1.00
262900.00	1.00
263000.00	1.00
263100.00	1.00
263200.00	1.00
263300.00	1.00
263400.00	1.00
263500.00	1.00
263600.00	1.00
263700.00	1.00
263800.00	1.00
263900.00	1.00
264000.00	1.00
264100.00	1.00
264200.00	1.00
264300.00	1.00
264400.00	1.00
264500.00	1.00
264600.00	1.00
264700.00	1.00
264800.00	1.00
264900.00	1.00
265000.00	1.00
265100.00	1.00
265200.00	1.00
265300.00	1.00
265400.00	1.00
265500.00	1.00
265600.00	1.00
265700.00	1.00
265800.00	1.00
265900.00	1.00
266000.00	1.00
266100.00	1.00
266200.00	1.00
266300.00	1.00
266400.00	1.00
266500.00	1.00
266600.00	1.00
266700.00	1.00
266800.00	1.00
266900.00	1.00
267000.00	1.00
267100.00	1.00
267200.00	1.00
267300.00	1.00
267400.00	1.00
267500.00	1.00
267600.00	1.00
267700.00	1.00
267800.00	1.00
267900.00	1.00
268000.00	1.00
268100.00	1.00
268200.00	1.00
268300.00	1.00
268400.00	1.00
268500.00	1.00
268600.00	1.00
268700.00	1.00
268800.00	1.00
268900.00	1.00
269000.00	1.00
269100.00	1.00
269200.00	1.00
269300.00	1.00
269400.00	1.00
269500.00	1.00
269600.00	1.00
269700.00	1.00
269800.00	1.00
269900.00	1.00
270000.00	1.00
270100.00	1.00
270200.00	1.00
270300.00	1.00
270400.00	1.00
270500.00	1.00
270600.00	1.00
270700.00	1.00
270800.00	1.00
270900.00	1.00
271000.00	1.00
271100.00	1.00
271200.00	1.00
271300.00	1.00
271400.00	1.00
271500.00	1.00
271600.00	1.00
271700.00	1.00
271800.00	1.00
271900.00	1.00
272000.00	1.00
272100.00	1.00
272200.00	1.01
272300.00	1.01
272400.00	1.01
272500.00	1.01
272600.00	1.01
272700.00	1.01
272800.00	1.01
272900.00	1.01
273000.00	1.01
273100.00	1.01
273200.00	1.01
273300.00	1.01
273400.00	1.01
273500.00	1.01
273600.00	1.01
273700.00	1.01
273800.00	1.01
273900.00	1.01
274000.00	1.01
274100.00	1.01
274200.00	1.01
274300.00	1.01
274400.00	1.01
274500.00	1.01
274600.00	1.01
274700.00	1.01
274800.00	1.01
274900.00	1.01
275000.00	1.01
275100.00	1.01
275200.00	1.01
275300.00	1.01
275400.00	1.01
275500.00	1.01
275600.00	1.01
275700.00	1.01
275800.00	1.01
275900.00	1.01
276000.00	1.01
276100.00	1.01
276200.00	1.01
276300.00	1.01
276400.00	1.01
276500.00	1.01
276600.00	1.01
276700.00	1.01
276800.00	1.01
276900.00	1.01
277000.00	1.01
277100.00	1.01
277200.00	1.01
277300.00	1.01
277400.00	1.01
277500.00	1.01
277600.00	1.01
277700.00	1.01
277800.00	1.01
277900.00	1.01
278000.00	1.01
278100.00	1.01
278200.00	1.01
278300.00	1.01
278400.00	1.01
278500.00	1.01
278600.00	1.01
278700.00	1.01
278800.00	1.01
278900.00	1.01
279000.00	1.01
279100.00	1.01
279200.00	1.01
279300.00	1.01
279400.00	1.01
279500.00	1.01
279600.00	1.01
279700.00	1.01
279800.00	1.01
279900.00	1.01
280000.00	1.01
280100.00	1.01
280200.00	1.01
280300.00	1.01
280400.00	1.01
280500.00	1.01
280600.00	1.01
280700.00	1.01
280800.00	1.01
280900.00	1.01
281000.00	1.01
281100.00	1.01
281200.00	1.01
281300.00	1.01
281400.00	1.01
281500.00	1.01
281600.00	1.01
281700.00	1.01
281800.00	1.01
281900.00	1.01
282000.00	1.01
282100.00	1.01
282200.00	1.01
282300.00	1.01
282400.00	1.01
282500.00	1.01
282600.00	1.01
282700.00	1.01
282800.00	1.01
282900.00	1.01
283000.00	1.01
283100.00	1.01
283200.00	1.01
283300.00	1.01
283400.00	1.01
283500.00	1.01
283600.00	1.01
283700.00	1.01
283800.00	1.01
283900.00	1.01
284000.00	1.01
284100.00	1.01
284200.00	1.01
284300.00	1.01
284400.00	1.01
284500.00	1.01
284600.00	1.01
284700.00	1.01
284800.00	1.01
284900.00	1.01
285000.00	1.01
285100.00	1.01
285200.00	1.01
285300.00	1.01
285400.00	1.01
285500.00	1.01
285600.00	1.01
285700.00	1.01
285800.00	1.01
285900.00	1.01
286000.00	1.01
286100.00	1.01
286200.00	1.01
286300.00	1.01
286400.00	1.01
286500.00	1.01
286600.00	1.01
286700.00	1.01
286800.00	1.01
286900.00	1.01
287000.00	1.01
287100.00	1.01
287200.00	1.01
287300.00	1.01
287400.00	1.01
287500.00	1.01
287600.00	1.01
287700.00	1.01
287800.00	1.01
287900.00	1.01
288000.00	1.01
288100.00	1.01
288200.00	1.01
288300.00	1.01
288400.00	1.01
288500.00	1.01
288600.00	1.01
288700.00	1.01
288800.00	1.01
288900.00	1.01
289000.00	1.01
289100.00	1.01
289200.00	1.01
289300.00	1.01
289400.00	1.01
289500.00	1.01
289600.00	1.01
289700.00	1.01
289800.00	1.01
289900.00	1.01
290000.00	1.01
290100.00	1.01
290200.00	1.01
290300.00	1.01
290400.00	1.01
290500.00	1.01
290600.00	1.01
290700.00	1.01
290800.00	1.01
290900.00	1.01
291000.00	1.01
291100.00	1.01
291200.00	1.01
291300.00	1.01
291400.00	1.01
291500.00	1.01
291600.00	1.01
291700.00	1.01
291800.00	1.01
291900.00	1.01
292000.00	1.01
292100.00	1.01
292200.00	1.01
292300.00	1.01
292400.00	1.01
292500.00	1.01
292600.00	1.01
292700.00	1.01
292800.00	1.01
292900.00	1.01
293000.00	1.01
293100.00	1.01
293200.00	1.01
293300.00	1.01
293400.00	1.01
293500.00	1.01
293600.00	1.01
293700.00	1.01
293800.00	1.01
293900.00	1.01
294000.00	1.01
294100.00	1.01
294200.00	1.01
294300.00	1.01
294400.00	1.01
294500.00	1.01
294600.00	1.01
294700.00	1.01
294800.00	1.01
294900.00	1.01
295000.00	1.01
295100.00	1.01
295200.00	1.01
295300.00	1.01
295400.00	1.01
295500.00	1.01
295600.00	1.01
295700.00	1.01
295800.00	1.01
295900.00	1.01
296000.00	1.01
296100.00	1.01
296200.00	1.01
296300.00	1.01
296400.00	1.01
296500.00	1.01
296600.00	1.01
296700.00	1.01
296800.00	1.01
296900.00	1.01
297000.00	1.01
297100.00	1.01
297200.00	1.01
297300.00	1.01
297400.00	1.01
297500.00	1.01
297600.00	1.01
297700.00	1.01
297800.00	1.01
297900.00	1.01
298000.00	1.01
298100.00	1.01
298200.00	1.01
298300.00	1.01
298400.00	1.01
298500.00	1.01
298600.00	1.01
298700.00	1.01
298800.00	1.01
298900.00	1.01
299000.00	1.01
299100.00	1.01
299200.00	1.01
299300.00	1.01
299400.00	1.01
299500.00	1.01
299600.00	1.01
299700.00	1.01
299800.00	1.01
299900.00	1.01
300000.00	1.01
